Party Abbre,Party Name,State NAME,Contested,Won,Df
AAP,Aam Aadmi Party,NCT OF Delhi,7,0,0
AAP,Aam Aadmi Party,Party Total,7,0,0
AIADMK      ,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,39,37,0
AIADMK,All India Anna Dravida Munnetra Kazhagam,Puducherry,1,0,0
AIADMK,All India Anna Dravida Munnetra Kazhagam,Party Total,40,37,0
AGP,Asom Gana Parishad,Assam,12,0,12
AGP,Asom Gana Parishad,Party Total,12,0,12
AIFB,All India Forward Bloc,West Bengal,3,0,0
AIFB,All India Forward Bloc,Party Total,3,0,0
All India N.R. Congress,All India N.R. Congress,Puducherry,1,1,0
All India N.R. Congress,All India N.R. Congress,Party Total,1,1,0
AITC,All India Trinamool Congress,Arunachal Pradesh,1,0,1
AITC,All India Trinamool Congress,Manipur,2,0,2
AITC      ,All India Trinamool Congress,West Bengal,42,34,0
AITC      ,All India Trinamool Congress,Party Total,45,34,3
AIUDF     ,All India United Democratic Front,Assam,10,3,5
AIUDF     ,All India United Democratic Front,Party Total,10,3,5
AJSUP,AJSU Party,Jharkhand,9,0,9
AJSUP,AJSU Party,Party Total,9,0,9
BJD       ,Biju Janata Dal,Orissa,21,20,0
BJD       ,Biju Janata Dal,Party Total,21,20,0
BOPF,Bodoland Peoples Front,Assam,2,0,1
BOPF,Bodoland Peoples Front,Party Total,2,0,1
DMDK,Desiya Murpokku Dravida Kazhagam,Tamil Nadu,14,0,11
DMDK,Desiya Murpokku Dravida Kazhagam,Party Total,14,0,11
DMK,Dravida Munnetra Kazhagam,Tamil Nadu,34,0,2
DMK,Dravida Munnetra Kazhagam,Puducherry,1,0,1
DMK,Dravida Munnetra Kazhagam,Party Total,35,0,3
HJCBL,Haryana Janhit Congress (BL),Haryana,2,0,0
HJCBL,Haryana Janhit Congress (BL),Party Total,2,0,0
INLD      ,Indian National Lok Dal,Haryana,10,2,4
INLD      ,Indian National Lok Dal,Party Total,10,2,4
IUML      ,Indian Union Muslim League,Kerala,2,2,0
IUML      ,Indian Union Muslim League,Party Total,2,2,0
JD(S)     ,Janata Dal  (Secular),Karnataka,25,2,17
JD(S),Janata Dal  (Secular),Kerala,1,0,0
JD(S),Janata Dal  (Secular),Party Total,26,2,17
JD(U)     ,Janata Dal  (United),Bihar,38,2,23
JD(U)     ,Janata Dal  (United),Party Total,38,2,23
JKN,Jammu & Kashmir National Conference,Jammu & Kashmir,3,0,0
JKN,Jammu & Kashmir National Conference,Party Total,3,0,0
JKNPP,Jammu & Kashmir National Panthers Party,Jammu & Kashmir,5,0,5
JKNPP,Jammu & Kashmir National Panthers Party,Party Total,5,0,5
JKPDP     ,Jammu & Kashmir Peoples Democratic Party,Jammu & Kashmir,5,3,2
JKPDP     ,Jammu & Kashmir Peoples Democratic Party,Party Total,5,3,2
JMM       ,Jharkhand Mukti Morcha,Jharkhand,4,2,1
JMM       ,Jharkhand Mukti Morcha,Party Total,4,2,1
JVM,Jharkhand Vikas Morcha (Prajatantrik),Jharkhand,14,0,11
JVM,Jharkhand Vikas Morcha (Prajatantrik),Party Total,14,0,11
KEC(M)    ,Kerala Congress  (M),Kerala,1,1,0
KEC(M)    ,Kerala Congress  (M),Party Total,1,1,0
LJP       ,Lok Jan Shakti Party,Bihar,7,6,0
LJP       ,Lok Jan Shakti Party,Party Total,7,6,0
MNS,Maharashtra Navnirman sena,Maharashtra,10,0,10
MNS,Maharashtra Navnirman sena,Party Total,10,0,10
NPEP      ,National Peoples Party,Meghalaya,1,1,0
NPEP      ,National Peoples Party,Party Total,1,1,0
NPF,Naga Peoples Front,Manipur,1,0,0
NPF       ,Naga Peoples Front,Nagaland,1,1,0
NPF       ,Naga Peoples Front,Party Total,2,1,0
PMK,Pattali Makkal Katchi,Puducherry,1,0,1
PMK,Pattali Makkal Katchi,Party Total,1,0,1
PPA,People's Party of Arunachal,Arunachal Pradesh,2,0,2
PPA,People's Party of Arunachal,Party Total,2,0,2
RJD       ,Rashtriya Janata Dal,Bihar,27,4,1
RJD,Rashtriya Janata Dal,Jharkhand,1,0,0
RJD,Rashtriya Janata Dal,Party Total,28,4,1
RLD,Rashtriya Lok Dal,Uttar Pradesh,8,0,6
RLD,Rashtriya Lok Dal,Party Total,8,0,6
RSP,Revolutionary Socialist Party,West Bengal,4,0,0
RSP,Revolutionary Socialist Party,Party Total,4,0,0
SAD       ,Shiromani Akali Dal,Punjab,10,4,0
SAD       ,Shiromani Akali Dal,Party Total,10,4,0
SDF       ,Sikkim Democratic Front,Sikkim,1,1,0
SDF       ,Sikkim Democratic Front,Party Total,1,1,0
SHS       ,Shivsena,Maharashtra,20,18,0
SHS       ,Shivsena,Party Total,20,18,0
SP        ,Samajwadi Party,Uttar Pradesh,78,5,21
SP        ,Samajwadi Party,Party Total,78,5,21
TDP       ,Telugu Desam,Andhra Pradesh,30,16,2
TDP       ,Telugu Desam,Party Total,30,16,2
TRS       ,Telangana Rashtra Samithi,Andhra Pradesh,17,11,3
TRS       ,Telangana Rashtra Samithi,Party Total,17,11,3
UDP,United Democratic Party,Meghalaya,1,0,0
UDP,United Democratic Party,Party Total,1,0,0